city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes,TotalPop,Income,Poverty
Houston,2015,Second,1,$180,29.548950257540103,-95.0923048268697,Harris County,77058,4525519,57791,16.8
Houston,2014,Fourth,Studio,$80,29.7472801283217,-95.38369314997168,Harris County,77006,4525519,57791,16.8
Houston,2014,First,1,$95,29.7286086067745,-95.405747550898,Harris County,77098,4525519,57791,16.8
Houston,2016,Fourth,2,$119,29.7487775521138,-95.3794416274248,Harris County,77006,4525519,57791,16.8
Houston,2015,Third,2,$130,29.7536311231402,-95.39079164632128,Harris County,77019,4525519,57791,16.8
Houston,2017,Second,1,$59,29.6931167263057,-95.413363826815,Harris County,77025-9998,4525519,57791,16.8
Houston,2017,First,1,$159,29.74160414430889,-95.38333188320892,Harris County,77006,4525519,57791,16.8
Houston,2016,Third,1,$60,29.7647074574896,-95.33419929809358,Harris County,77020,4525519,57791,16.8
Houston,2015,First,1,$62,29.6906516935008,-95.266507467849,Harris County,77017,4525519,57791,16.8
Houston,2016,First,1,$59,29.7028958785044,-95.47861187082908,Harris County,77081,4525519,57791,16.8
Houston,2016,Third,1,$87,29.7274987673763,-95.4543648329653,Harris County,77027,4525519,57791,16.8
Houston,2013,Third,1,$49,29.751096242231103,-95.3802394487012,Harris County,77006,4525519,57791,16.8
Houston,2015,Third,1,$65,29.741568617406696,-95.3316757965151,Harris County,77023,4525519,57791,16.8
Houston,2016,First,1,$30,29.665052929755102,-95.54134547868428,Harris County,77031,4525519,57791,16.8
Houston,2016,First,4,$400,29.9203112608549,-95.1558531117148,Harris County,77044,4525519,57791,16.8
Deer Park,2016,Fourth,4,$990,29.674601944113306,-95.10390298795392,Harris County,77536,4525519,57791,16.8
Houston,2013,Third,1,$129,29.699178454031703,-95.4190572901903,Harris County,77025,4525519,57791,16.8
Houston,2016,Second,1,$85,29.7845462077107,-95.385347170393,Harris County,77009,4525519,57791,16.8
Houston,2015,Second,1,$50,29.727202371403,-95.3837335086722,Harris County,77004,4525519,57791,16.8
Houston,2014,Fourth,1,$62,30.0036749760694,-95.4988211532016,Harris County,77068,4525519,57791,16.8
Houston,2015,Fourth,1,$45,29.8276607755434,-95.39314225311207,Harris County,77022,4525519,57791,16.8
Houston,2013,Second,1,$95,29.758254064426698,-95.35537641516208,Harris County,77004,4525519,57791,16.8
Houston,2014,Second,1,$50,29.6883229299218,-95.4612689194253,Harris County,77096,4525519,57791,16.8
Houston,2016,First,1,$100,29.803026039172696,-95.3709185956758,Harris County,77009,4525519,57791,16.8
Houston,2016,Fourth,1,$40,29.9550861944799,-95.173046807334,Harris County,77346,4525519,57791,16.8
Houston,2015,Fourth,2,$125,29.7041992146346,-95.3384445664594,Harris County,77021,4525519,57791,16.8
Houston,2016,Third,1,$109,29.7245650549586,-95.3962192954104,Harris County,77005,4525519,57791,16.8
Houston,2015,Fourth,1,$57,29.7418866510124,-95.485890752763,Harris County,77057,4525519,57791,16.8
Houston,2013,Second,3,$199,29.7652898100031,-95.3752622929517,Harris County,77007,4525519,57791,16.8
Houston,2015,Second,1,$88,29.733657085537896,-95.38890004719102,Harris County,77006,4525519,57791,16.8
Houston,2013,Second,1,$60,29.810340451812,-95.36485809114492,Harris County,77009,4525519,57791,16.8
Houston,2016,First,1,$80,29.6282604515532,-95.1421898353248,Harris County,77058,4525519,57791,16.8
La Porte,2016,First,4,$134,29.6767257586932,-95.0462573779638,Harris County,77571,4525519,57791,16.8
Houston,2016,Fourth,1,$140,29.770731644544,-95.3722039787533,Harris County,77007,4525519,57791,16.8
Houston,2013,Third,1,$75,29.6999352568042,-95.4232179429023,Harris County,77025,4525519,57791,16.8
Houston,2016,First,Studio,$33,29.735776267119604,-95.4080603517338,Harris County,77098,4525519,57791,16.8
Houston,2015,Second,1,$77,29.8086513166896,-95.3592948638729,Harris County,77009,4525519,57791,16.8
Humble,2016,Fourth,1,$35,30.0215677803355,-95.3119401636238,Harris County,77338,4525519,57791,16.8
Seabrook,2017,First,4,$500,29.5670368964485,-95.0650928734816,Harris County,77586,4525519,57791,16.8
Houston,2016,First,1,$59,29.746778620655103,-95.3517341789648,Harris County,77003,4525519,57791,16.8
Houston,2014,Second,1,$50,29.757080006048497,-95.3442438124665,Harris County,77003,4525519,57791,16.8
Houston,2016,First,1,$55,30.026838228709,-95.44086454675129,Harris County,77090,4525519,57791,16.8
Houston,2014,Third,1,$45,29.7769420189471,-95.3613225565266,Harris County,77009,4525519,57791,16.8
Houston,2016,First,1,$55,30.026838228709,-95.44086454675129,Harris County,77090,4525519,57791,16.8
Houston,2015,Second,1,$72,30.0085284715122,-95.45133877646792,Harris County,77090,4525519,57791,16.8
Humble,2014,First,1,$24,29.9844360525734,-95.19598508492778,Harris County,77346,4525519,57791,16.8
Houston,2014,Second,1,$54,29.776012125094,-95.3747243466912,Harris County,77007,4525519,57791,16.8
Houston,2014,Second,1,$57,29.770154568818803,-95.3688285202308,Harris County,77007,4525519,57791,16.8
Houston,2014,Fourth,Studio,$80,29.747133239176,-95.3852278551601,Harris County,77006,4525519,57791,16.8
Houston,2015,Second,Studio,$55,29.8078002144181,-95.35802668323308,Harris County,77009,4525519,57791,16.8
Houston,2015,Third,1,$42,29.7725584950496,-95.3685307680102,Harris County,77007,4525519,57791,16.8
Houston,2015,Third,3,$875,29.8065449940934,-95.42264692644908,Harris County,77008,4525519,57791,16.8
Houston,2017,Second,1,$90,29.7408806605122,-95.4670603707798,Harris County,77056,4525519,57791,16.8
Houston,2016,Fourth,2,$119,29.747648570777603,-95.37905164425908,Harris County,77006,4525519,57791,16.8
Houston,2014,Third,2,$150,29.745024310363696,-95.34668794769148,Harris County,77004,4525519,57791,16.8
Baytown,2016,Third,5,$350,29.8178296002247,-94.98261790145858,Harris County,77521,4525519,57791,16.8
Houston,2017,First,1,$42,29.6629196747236,-95.4039621275593,Harris County,77045,4525519,57791,16.8
Houston,2016,First,3,$1000,29.9821095439386,-95.1542791133798,Harris County,77346,4525519,57791,16.8
Houston,2013,Fourth,1,$129,29.760146152901697,-95.3872691574197,Harris County,77019,4525519,57791,16.8
Houston,2015,First,1,$49,29.803386855468,-95.41449830228773,Harris County,77008,4525519,57791,16.8
Houston,2017,First,2,$119,29.8241964107625,-95.44474423950292,Harris County,77018,4525519,57791,16.8
Houston,2016,Fourth,1,$35,29.586321032589897,-95.11741180970628,Harris County,77059,4525519,57791,16.8
La Porte,2016,Third,1,$55,29.625682464758395,-95.0122635694232,Harris County,77571,4525519,57791,16.8
Houston,2015,Third,1,$72,29.762350929179,-95.41652190679592,Harris County,77024,4525519,57791,16.8
Houston,2017,First,2,$130,29.7676318107004,-95.3756693607936,Harris County,77007,4525519,57791,16.8
Houston,2016,First,1,$75,29.827858025489803,-95.081412395216,Harris County,77562,4525519,57791,16.8
Humble,2013,Fourth,2,$37,29.9378413656248,-95.2421928409867,Harris County,77396,4525519,57791,16.8
Houston,2016,Third,2,$59,30.0366178770123,-95.1744311843334,Harris County,77345,4525519,57791,16.8
Houston,2017,Second,2,$90,29.701637550289696,-95.3974609191485,Harris County,77030,4525519,57791,16.8
Houston,2015,Third,1,$69,29.742998239853,-95.3853869383801,Harris County,77006,4525519,57791,16.8
Houston,2014,Fourth,2,$85,29.8095387451298,-95.42010136770809,Harris County,77008,4525519,57791,16.8
Houston,2016,Fourth,1,$29,29.609282247732395,-95.18775144957132,Harris County,77034,4525519,57791,16.8
Baytown,2016,First,2,$99,29.7790969491864,-94.9598553087392,Harris County,77521,4525519,57791,16.8
Houston,2016,Fourth,1,$63,29.772920872001,-95.3777158749629,Harris County,77007,4525519,57791,16.8
Houston,2016,Fourth,2,$400,29.7932242686556,-95.38923666484207,Harris County,77008,4525519,57791,16.8
Seabrook,2014,Third,1,$70,29.583564008802,-95.0128498491186,Harris County,77586,4525519,57791,16.8
Houston,2016,Second,1,$37,29.7507481273452,-95.3482205465816,Harris County,77003,4525519,57791,16.8
Humble,2016,Second,1,$25,29.989861297849004,-95.2471603482132,Harris County,77338,4525519,57791,16.8
Houston,2015,Second,3,$126,29.753355526935,-95.3424845724286,Harris County,77003,4525519,57791,16.8
Houston,2014,Fourth,Studio,$60,29.7460338423745,-95.384809764674,Harris County,77006,4525519,57791,16.8
Houston,2016,Fourth,2,$800,29.5549873018012,-95.1175797372558,Harris County,77058,4525519,57791,16.8
Humble,2016,Third,1,$50,29.9760552939226,-95.22145419909609,Harris County,77396,4525519,57791,16.8
Houston,2015,Fourth,1,$80,29.7808685471976,-95.3913666631434,Harris County,77007,4525519,57791,16.8
Houston,2017,First,1,$59,29.5841678888514,-95.110800972988,Harris County,77062,4525519,57791,16.8
Houston,2015,Second,1,$43,29.755298808944698,-95.38122237336692,Harris County,77006,4525519,57791,16.8
Houston,2015,Second,1,$75,29.8070309029336,-95.36024734603942,Harris County,77009,4525519,57791,16.8
Houston,2016,First,1,$49,29.751546670465103,-95.3380179155388,Harris County,77003,4525519,57791,16.8
Houston,2015,Third,4,$300,29.810228728976803,-95.1696703061258,Harris County,77049,4525519,57791,16.8
Houston,2017,First,1,$100,29.536974724137803,-95.0851601044968,Harris County,77058,4525519,57791,16.8
Houston,2015,Second,1,$90,29.7338478660013,-95.38720843663693,Harris County,77006,4525519,57791,16.8
Houston,2016,First,2,$60,29.7488169642133,-95.3831886482786,Harris County,77006,4525519,57791,16.8
Pasadena,2015,First,1,$165,29.677165185461803,-95.16412086896472,Harris County,77505,4525519,57791,16.8
Houston,2016,Fourth,1,$63,29.772920872001,-95.3777158749629,Harris County,77007,4525519,57791,16.8
Houston,2017,First,2,$98,29.685457368698696,-95.3883217504526,Harris County,77054,4525519,57791,16.8
Spring,2016,First,1,$39,30.1338161405551,-95.541056344456,Harris County,77389,4525519,57791,16.8
Houston,2016,Second,1,$34,29.5823192504997,-95.1451370194415,Harris County,77062,4525519,57791,16.8
Houston,2016,Second,1,$65,29.745899315935,-95.37988668175258,Harris County,77006,4525519,57791,16.8
Houston,2016,First,1,$79,29.7376448724696,-95.32989092280192,Harris County,77023,4525519,57791,16.8
Highlands,2017,First,2,$99,29.8284111310629,-95.0066892269384,Harris County,77562,4525519,57791,16.8
Houston,2016,First,1,$60,29.6052720637925,-95.2205914212997,Harris County,77089,4525519,57791,16.8
Webster,2017,First,1,$115,29.5371305713973,-95.1059088380439,Harris County,77058,4525519,57791,16.8
Houston,2015,Third,Studio,$65,29.7858010715127,-95.3964669351329,Harris County,77008,4525519,57791,16.8
Crosby,2015,Fourth,4,$1000,29.9164170722324,-95.01800935424922,Harris County,77532,4525519,57791,16.8
Houston,2015,Third,2,$180,29.717013358435803,-95.41776061917,Harris County,77005,4525519,57791,16.8
Deer Park,2017,First,3,$800,29.7036690176716,-95.1043309810628,Harris County,77536,4525519,57791,16.8
Houston,2016,Second,3,$225,29.545993379851694,-95.0933657386072,Harris County,77058,4525519,57791,16.8
